sexe;preusuel;annais;nombre
1;ABASS;2003;3
1;ABASS;2004;4
1;ABASS;2005;3
1;ABASS;2007;3
1;ABASS;2008;7
1;ABASS;2011;5
1;ABASS;2012;8
1;ABASS;2013;10
1;ABASS;2014;4
1;ABASS;2015;6
1;ABASS;2017;7
1;ABASS;2018;7
1;ABDARAHMANE;2010;3
1;ABDARAHMANE;2014;3
1;ABDARAHMANE;2017;4
1;ABDEL-KRIM;1951;3
1;ABDEL-KRIM;1956;6
1;ABDEL-KRIM;1958;6
1;ABDEL-KRIM;1959;4
1;ABDEL-KRIM;1960;10
1;ABDEL-KRIM;1961;5
1;ABDEL-KRIM;1962;3
1;ABDEL-KRIM;1963;7
1;ABDEL-KRIM;1967;3
1;ABDEL-KRIM;1968;3
1;ABDEL-KRIM;1969;6
1;ABDEL-KRIM;1970;4
1;ABDEL-KRIM;1971;4
1;ABDEL-KRIM;1972;7
1;ABDEL-KRIM;1974;4
1;ABDEL-KRIM;1981;4
1;ABDEL-KRIM;1991;3
1;ABDEL-WAHID;2000;3
1;ABDEL-WAHID;2002;3
1;ABDEL-WAHID;2005;3
1;ABDEL-WAHID;2010;4
1;ABDELFATTAH;1975;3
1;ABDELFATTAH;1979;5
1;ABDELFATTAH;1980;3
1;ABDELFATTAH;1982;4
1;ABDELFATTAH;1987;4
1;ABDELFATTAH;2006;4
1;ABDELHATIF;1966;4
1;ABDELHATIF;1970;4
1;ABDELHATIF;1971;3
1;ABDELHATIF;1983;3
1;ABDELHATIF;1984;4
1;ABDELKRIME;1961;4
1;ABDELKRIME;1962;7
1;ABDELKRIME;1967;3
1;ABDELKRIME;1969;3
1;ABDELKRIME;1970;4
1;ABDELKRIME;1973;3
1;ABDELKRIME;1974;3
1;ABDELKRIME;1976;6
1;ABDELKRIME;1978;3
1;ABDELKRIME;1979;3
1;ABDELNOR;1965;3
1;ABDELNOR;1966;3
1;ABDELNOR;1970;3
1;ABDELNOR;1973;3
1;ABDELNOR;1974;3
1;ABDELNOR;1975;3
1;ABDELNOR;1977;3
1;ABDELNOR;1979;4
1;ABDELNOR;1983;3
1;ABDELNOR;1990;3
1;ABDELNOR;1997;3
1;ABDELRAZEK;1986;3
1;ABDELRAZEK;2010;5
1;ABDENNASSER;1981;3
1;ABDERRAHMAN;1958;3
1;ABDERRAHMAN;1959;4
1;ABDERRAHMAN;1962;3
1;ABDERRAHMAN;1966;4
1;ABDERRAHMAN;1970;4
1;ABDERRAHMAN;1971;6
1;ABDERRAHMAN;1972;6
1;ABDERRAHMAN;1973;4
1;ABDERRAHMAN;1975;3
1;ABDERRAHMAN;1976;3
1;ABDERRAHMAN;1977;4
1;ABDERRAHMAN;1978;7
1;ABDERRAHMAN;1979;3
1;ABDERRAHMAN;1980;8
1;ABDERRAHMAN;1981;6
1;ABDERRAHMAN;1982;7
1;ABDERRAHMAN;1983;6
1;ABDERRAHMAN;1984;15
1;ABDERRAHMAN;1985;7
1;ABDERRAHMAN;1986;7
1;ABDERRAHMAN;1987;7
1;ABDERRAHMAN;1988;9
1;ABDERRAHMAN;1989;10
1;ABDERRAHMAN;1990;6
1;ABDERRAHMAN;1991;5
1;ABDERRAHMAN;1992;6
1;ABDERRAHMAN;1993;5
1;ABDERRAHMAN;1994;4
1;ABDERRAHMAN;1995;6
1;ABDERRAHMAN;1996;4
1;ABDERRAHMAN;1997;9
1;ABDERRAHMAN;1999;12
1;ABDERRAHMAN;2000;4
1;ABDERRAHMAN;2001;7
1;ABDERRAHMAN;2002;10
1;ABDERRAHMAN;2003;21
1;ABDERRAHMAN;2004;14
1;ABDERRAHMAN;2005;13
